City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,barao de melgaco,-16.1944,-55.9675,30.93,53,99,2.03,BR,1681327301
294,port-cartier,50.0334,-66.8654,12.82,78,97,2.18,CA,1681327301
295,otukpo,7.1913,8.1329,29.61,55,34,3.33,NG,1681327301
296,monte patria,-30.6919,-70.9467,26.74,35,75,3.76,CL,1681327301
297,kumta,14.4167,74.4,25.99,88,18,0.28,IN,1681327302
298,quang ngai,15.1167,108.8,24.77,93,82,2.17,VN,1681327302
299,ribeira grande,38.5167,-28.7,17.22,88,75,4.12,PT,1681327302
300,grand gaube,-20.0064,57.6608,24.65,86,22,4.35,MU,1681327303
301,teguise,29.0605,-13.564,19.12,68,0,9.77,ES,1681327303
302,katsuura,35.1333,140.3,13.32,72,100,10.33,JP,1681327303
303,zalesovo,53.9939,84.7431,-0.85,72,100,4.13,RU,1681327304
304,iqaluit,63.7506,-68.5145,-6.15,63,75,0.0,CA,1681327304
305,bhag,29.0415,67.8239,31.76,18,0,3.02,PK,1681327305
306,nizwa,22.9333,57.5333,26.63,43,90,1.44,OM,1681327284
307,pagudpud,18.5616,120.7868,25.4,91,79,5.97,PH,1681327305
308,bonavista,48.6499,-53.1147,2.38,82,100,3.58,CA,1681327305
309,boguchar,49.9358,40.545,11.06,65,100,8.39,RU,1681327305
310,manta,-0.95,-80.7333,30.88,70,40,2.57,EC,1681327306
311,sumenep,-7.0167,113.8667,25.7,88,98,3.43,ID,1681327306
312,dhone,15.4167,77.8833,29.83,24,0,4.01,IN,1681327307
313,urumqi,43.801,87.6005,6.53,81,0,2.0,CN,1681327307
314,kashi,39.4547,75.9797,16.56,23,86,4.0,CN,1681327307
315,sistranda,63.7256,8.834,8.98,69,1,10.98,NO,1681327308
316,skibbereen,51.55,-9.2667,8.39,68,0,10.02,IE,1681327308
317,lujan,-34.5703,-59.105,17.84,48,100,5.23,AR,1681327203
318,singapore,1.2897,103.8501,28.02,88,75,2.57,SG,1681326770
319,san vicente,-26.6167,-54.1333,29.29,31,0,1.48,AR,1681327308
320,two rivers,44.1539,-87.5693,29.27,34,0,8.75,US,1681327309
321,topeka,39.0483,-95.678,27.72,36,0,9.77,US,1681327309
322,san andres,12.5847,-81.7006,30.01,70,40,5.14,CO,1681327309
323,palu,-0.8917,119.8707,24.46,95,90,1.06,ID,1681327309
324,flin flon,54.7682,-101.865,4.91,70,75,6.17,CA,1681327310
325,yaan,7.3833,8.5667,31.72,45,12,4.14,NG,1681327310
326,faya,18.3851,42.4509,18.06,52,5,2.93,SA,1681327310
327,san quintin,30.4833,-115.95,16.57,68,91,5.32,MX,1681327311
328,charlestown,-32.95,151.6667,15.38,96,92,0.89,AU,1681327311
329,dingle,10.9995,122.6711,23.71,81,100,0.8,PH,1681327312
330,yarmouth,41.7057,-70.2286,24.26,23,0,4.63,US,1681327174
331,tilichiki,60.4667,166.1,-16.63,88,100,3.44,RU,1681327312
332,alvin,29.4238,-95.2441,26.18,58,75,5.14,US,1681327312
333,bagdarin,54.4333,113.6,-6.04,86,100,1.89,RU,1681327312
334,puri,19.8,85.85,29.29,82,0,5.76,IN,1681327313
335,kruisfontein,-34.0033,24.7314,15.49,62,100,0.52,ZA,1681327313
336,hobyo,5.3505,48.5268,28.43,75,99,5.47,SO,1681327313
337,anaconda,46.1285,-112.9423,1.55,78,99,1.8,US,1681327314
338,rapid city,44.0805,-103.231,22.07,35,0,3.58,US,1681327265
339,harare,-17.8294,31.0539,16.52,89,81,3.08,ZW,1681327314
340,sept-iles,50.2001,-66.3821,13.0,56,75,4.63,CA,1681327314
341,tucumcari,35.1717,-103.725,30.52,11,0,6.17,US,1681327315
342,nuuk,64.1835,-51.7216,0.34,80,20,4.63,GL,1681327202
343,shimoda,34.6667,138.95,11.72,73,1,4.14,JP,1681327297
344,pacific grove,36.6177,-121.9166,16.42,68,0,7.72,US,1681327043
345,padang,-0.9492,100.3543,24.97,87,92,0.97,ID,1681327315
346,sola,-13.8833,167.55,28.32,70,62,4.15,VU,1681327316
347,aksu,41.1231,80.2644,13.03,35,39,1.99,CN,1681327316
348,soma,39.1855,27.6094,11.55,88,58,2.06,TR,1681327317
349,cockburn town,21.4612,-71.1419,25.79,76,7,5.33,TC,1681327317
350,terrak,65.087,12.3715,10.93,87,66,7.03,NO,1681327318
351,salamiyah,35.0113,37.0532,9.3,86,100,8.99,SY,1681327318
352,sikasso,10.9167,-7.0,34.79,14,11,1.82,ML,1681327318
353,ponta do sol,32.6667,-17.1,20.4,73,6,2.94,PT,1681327318
354,siniscola,40.5719,9.6922,14.75,67,0,1.58,IT,1681327319
355,bubaque,11.2833,-15.8333,25.29,76,98,7.54,GW,1681327097
356,jalu,29.0331,21.5482,19.41,26,0,3.87,LY,1681327319
357,jupiter,26.9342,-80.0942,22.03,94,100,4.47,US,1681327027
358,marquette,46.5333,-87.6335,23.76,40,2,3.13,US,1681327259
359,caiaponia,-16.9567,-51.8103,26.77,68,55,1.62,BR,1681327321
360,codrington,-38.2667,141.9667,14.83,94,92,1.92,AU,1681327321
361,vardo,70.3705,31.1107,-0.01,69,75,7.72,NO,1681327322
362,tezu,27.9167,96.1667,21.74,36,0,2.31,IN,1681327156
363,aalsmeer,52.2641,4.7653,10.06,62,20,4.63,NL,1681327322
364,pangnirtung,66.1451,-65.7125,-9.0,62,20,1.54,CA,1681327323
365,batken,39.8333,71.0,7.13,60,100,2.71,KG,1681327323
